Canada,4.2
Newfoundland and Labrador,1.4
Corner Brook,26.5
Gander,5.6
Grand Falls-Windsor,252.6
St. John's,228.2
Prince Edward Island,27.2
Charlottetown,70.9
Summerside,145.1
Nova Scotia,18.4
Cape Breton,40
Halifax,64
Kentville,44.4
New Glasgow,16.6
Truro,16.9
New Brunswick,10.9
Bathurst,14.9
Campbellton,8.7
Campbellton (New Brunswick part / partie du Nouveau-Brunswick),11
Campbellton (partie du Québec / Quebec part),3.1
Edmundston,14
Fredericton,18.1
Miramichi,3.6
Moncton,61.5
Moncton – Saint John, 61.5
Saint John,37.3
Quebec,6.5
Alma,155.6
Amos,8.2
Baie-Comeau,39
Cowansville,325
Dolbeau-Mistassini,23.6
Drummondville,92.8
Granby,183.8
Joliette,485
Lachute,129.8
Matane,21.3
Montréal,919
Québec,239.8
Rimouski,69.8
Rivière-du-Loup,55.3
Rouyn-Noranda,7.1
Saguenay,51.6
Saint-Georges,95.4
Saint-Hyacinthe,231.2
Sainte-Agathe-des-Monts,94.3
Sainte-Marie,122.1
Salaberry-de-Valleyfield,394.1
Sept-Îles,15.8
Shawinigan,68
Sherbrooke,156
Sherbrooke – Trois-Rivières,156
Sorel-Tracy,246.2
Thetford Mines,69.7
Trois-Rivières,155.5
Val-d'Or,9.6
Victoriaville,140
Ontario,15.9
Barrie,237.2
Belleville – Quinte West,83.1
Brantford,134.2
Brockville,54.9
Centre Wellington,75.9
Chatham-Kent,42.3
Cobourg,915.7
Collingwood,748.3
Cornwall,120.6
Elliot Lake,16.3
Essa,82.1
Greater Sudbury / Grand Sudbury,40.7
Greater Sudbury – Thunder Bay,40.7
Guelph,278.3
Hamilton,571.8
Hawkesbury,930
Hawkesbury (Ontario part / partie de l'Ontario),1009.7
Hawkesbury (partie du Québec / Quebec part),644.6
Ingersoll,1075.3
Kawartha Lakes,26.1
Kenora,70.7
Kingston,89.9
Kingston – Peterborough,89.9
Kitchener – Cambridge – Waterloo,527.2
London,204.2
Midland,459.1
Norfolk,42.2
North Bay,13.5
Orillia,1171.1
Oshawa,459.8
Ottawa – Gatineau,185
Ottawa – Gatineau (Ontario part / partie de l'Ontario),243.3
Ottawa – Gatineau (partie du Québec / Quebec part),104.5
Owen Sound,52.4
Pembroke,43
Petawawa,110.3
Peterborough,85.3
Port Hope,62
Sarnia,87.4
Sault Ste. Marie,95.6
St. Catharines – Niagara,310.4
Stratford,1107
Thunder Bay,48.3
Tillsonburg,838.6
Timmins,13.9
Toronto,1050.7
Wasaga Beach,433
Windsor,234.4
Woodstock,827.2
Manitoba,2.5
Brandon,44
Portage la Prairie,536.8
Steinbach,474.1
Thompson,784.3
Winkler,37.4
Winnipeg,157.9
Saskatchewan,2
Estevan,16.1
Moose Jaw,41.3
North Battleford,17.3
Prince Albert,18
Regina,57.6
Saskatoon,54.1
Regina – Saskatoon,55.8
Swift Current,16.6
Weyburn,14.8
Yorkton,12.2
Alberta,6.7
Brooks,819.8
Calgary,290.6
Camrose,450.5
Canmore,233.5
Edmonton,150.6
Grande Prairie,483.3
High River,645.4
Lacombe,650.7
Lethbridge,41.9
Lloydminster,18.4
Lloydminster (Alberta part / partie de l'Alberta),823.1
Lloydminster (Saskatchewan part / partie de la Saskatchewan),8.6
Medicine Hat,5.8
Okotoks,788.7
Red Deer,966.5
Strathmore,531.6
Sylvan Lake,680.9
Wetaskiwin,671.6
Wood Buffalo,1.2
British Columbia,5.4
Abbotsford – Mission,322.6
Campbell River,23.5
Chilliwack,78.8
Courtenay,101.4
Cranbrook,5.9
Dawson Creek,1.5
Duncan,127.5
Fort St. John,46.5
Kamloops,20.2
Kelowna,76.5
Ladysmith,37.6
Nanaimo,90.3
Nelson,15.6
Parksville,379.6
Penticton,27.3
Port Alberni,15.8
Powell River,22.3
Prince George,5.1
Prince Rupert,4.1
Quesnel,1.1
Salmon Arm,119.1
Squamish,229.8
Terrace,2
Trail,51.1
Vancouver,918
Vernon,64.4
Victoria,571.3
Williams Lake,1.9
Yukon,0.1
Whitehorse,3.8
Northwest Territories,0
Yellowknife,196.8
Nunavut,0
