2,United States,734,63582
3,Central America,3749,15000
4,Jamaica,3054,9913
5,Other Caribbean and Bermuda,3004,15000
6,South America,8279,15000
7,United Kingdom,5361,44942
8,Germany,6128,53700
9,France,5648,46653
10,Other Northern and Western Europe,6000,52000
11,Poland,6576,34969
12,Other Eastern Europe,7216,27000
13,Italy,6729,42171
14,Portugal,5387,33845
15,Other Southern Europe,5690,35000
16,Eastern Africa,12483,4000
17,Northern Africa,6912,10000
18,Other Africa,10428,4000
19,Iran,9552,15550
20,Other West Central Asia and the Middle East,9387,12000
21,China,10448,17591
22,Hong Kong,12421,66249
23,South Korea,10511,44347
24,Other Eastern Asia,10320,30000
25,Phillipines,13135,8366
26,Viet Nam,12625,10516
27,Other Southeast Asia,13676,14000
28,India,11337,6677
29,Pakistan,10669,5451
30,Sri Lanka,13705,13251
31,Other Southern Asia,15644,10000
32,Oceania and others,16108,50000
113,Other Americas,3604,null
114,Europe,5476,44786
115,Eastern Asia,10448,null
116,Southeast and Southern Asia,13762,null
117,Other,null,null
